,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Xingyi,100,CN,1566430117,90,24.19,102.82,16.52,1.43
375,Shenjiamen,16,CN,1566430117,79,29.96,122.3,27.22,1.37
376,Heide,3,DE,1566430117,93,54.19,9.09,14.0,1.0
377,Oistins,20,BB,1566430000,74,13.07,-59.53,28.0,4.1
378,Bandarbeyla,70,SO,1566430118,56,9.49,50.81,27.02,8.87
379,Vardo,20,US,1566430118,55,39.62,-77.74,30.0,3.1
380,Todos Santos,40,MX,1566430118,66,23.45,-110.23,33.33,4.1
381,Ozernovskiy,100,RU,1566430119,96,51.5,156.52,8.32,3.5
382,Tilichiki,8,RU,1566429948,68,60.47,166.1,16.32,1.99
383,Orcopampa,49,PE,1566430119,51,-15.27,-72.34,3.32,1.44
384,Kysyl-Syr,100,RU,1566430119,89,63.9,122.77,13.42,2.73
385,Buncrana,53,GB,1566430119,76,55.14,-7.45,14.32,10.95
386,Karratha,0,AU,1566430120,14,-20.74,116.85,19.52,8.83
387,Nyrob,100,RU,1566430120,99,60.74,56.73,13.92,1.77
388,Saint-Paul,0,FR,1566430120,81,45.22,1.9,14.44,1.7
389,Hofn,100,IS,1566430121,97,64.25,-15.21,3.32,5.02
390,Vestmannaeyjar,100,IS,1566430121,84,63.44,-20.27,11.22,5.99
391,Pravokubanskiy,0,RU,1566430121,89,43.92,41.88,16.62,1.89
392,Kodinsk,65,RU,1566430121,80,58.6,99.18,12.42,1.3
393,Kahului,40,US,1566430121,58,20.89,-156.47,31.0,10.8
394,Adrar,0,DZ,1566430122,12,27.87,-0.29,36.0,7.7
395,Mehamn,0,NO,1566430122,93,71.03,27.85,10.0,1.5
396,Samarai,49,PG,1566430122,66,-10.62,150.67,24.52,3.61
397,Raudeberg,62,NO,1566430122,71,61.99,5.14,13.0,6.2
398,Macapa,0,BR,1566430123,79,0.05,-51.07,29.0,5.1
399,Rizhao,74,CN,1566430123,71,35.43,119.46,23.02,2.55
400,Colares,0,PT,1566430123,41,38.8,-9.45,24.0,2.1
401,Komsomolskiy,97,RU,1566429897,84,67.55,63.78,11.12,4.26
402,Kaseda,75,JP,1566430123,88,31.42,130.32,26.0,0.5
403,Abong Mbang,96,CM,1566430124,98,3.98,13.18,18.92,0.99
404,Zabaykalsk,100,CN,1566430124,93,49.64,117.33,12.32,4.75
405,Meadville,20,US,1566430124,88,41.64,-80.15,27.22,4.18
406,Baghdad,0,IQ,1566430125,25,33.3,44.38,32.0,6.7
407,Beringovskiy,68,RU,1566430125,40,63.05,179.32,16.52,1.04
408,Saldanha,0,PT,1566430125,38,41.42,-6.55,19.92,2.82
409,Ambilobe,100,MG,1566430126,80,-13.19,49.05,23.02,2.54
410,Malindi,20,KE,1566430126,83,-3.22,40.12,25.0,8.2
411,Trelew,19,AR,1566430126,58,-43.25,-65.31,10.52,5.27
412,Baruun-Urt,0,MN,1566429858,56,46.68,113.28,13.92,5.62
413,Bafq,0,IR,1566430126,16,31.6,55.4,16.52,2.9
414,Saint-Francois,0,FR,1566430126,81,46.42,3.91,12.0,0.87
415,Waingapu,61,ID,1566430127,73,-9.65,120.26,23.22,7.27
416,Montelibano,39,CO,1566430127,88,7.98,-75.42,26.42,2.95
417,Rio Grande,65,BR,1566429940,90,-32.03,-52.1,8.33,1.42
418,Sungurlu,9,TR,1566430127,65,40.17,34.38,20.32,0.96
419,Dauphin,1,CA,1566430128,59,51.15,-100.04,18.0,6.2
420,Ambon,0,FR,1566430128,77,47.55,-2.56,17.22,3.6
421,Pedra Branca,19,BR,1566430128,41,-5.46,-39.72,24.02,1.99
422,Bongandanga,56,CD,1566430128,99,1.51,21.07,19.12,0.78
423,Baykit,0,RU,1566429961,82,61.68,96.39,10.82,1.24
424,Kotelnich,70,RU,1566430129,96,58.31,48.34,14.22,1.73
425,Suntar,100,RU,1566430129,96,62.16,117.65,11.92,1.62
426,Panorama,0,BR,1566430129,50,-21.35,-51.86,22.22,2.69
427,Zhireken,100,RU,1566430129,98,52.82,117.29,10.22,1.61
428,Shwebo,100,MM,1566430130,88,22.57,95.7,26.02,3.47
429,Ottumwa,75,US,1566430130,94,41.02,-92.41,24.0,1.5
430,Isangel,40,VU,1566430130,60,-19.55,169.27,24.0,5.1
431,Calvinia,12,ZA,1566430130,16,-31.47,19.78,15.52,3.04
432,Preobrazheniye,100,RU,1566430131,96,42.9,133.91,17.32,0.83
433,Yar-Sale,52,RU,1566430131,77,66.83,70.83,10.12,3.08
434,Tonantins,83,BR,1566430131,67,-2.86,-67.77,26.42,0.76
435,Kodiak,90,US,1566430131,83,39.95,-94.76,25.56,2.1
436,Prado,21,CO,1566430131,34,3.75,-74.93,30.72,4.95
437,Dalvik,20,SE,1566430132,93,57.79,14.13,10.0,2.6
438,Odienne,98,CI,1566430132,96,9.51,-7.57,21.12,2.03
439,Juneau,75,US,1566429846,48,58.3,-134.42,17.0,5.7
440,Bogatyye Saby,84,RU,1566430132,92,56.01,50.45,16.12,1.18
441,Verkhnyaya Toyma,100,RU,1566430133,94,62.24,45.0,12.12,0.7
442,Comodoro Rivadavia,0,AR,1566430133,58,-45.87,-67.48,12.0,4.6
443,Sinegorye,93,RU,1566430133,46,62.09,150.53,20.72,1.81
444,Manaure,0,CO,1566430134,74,11.78,-72.45,30.0,6.2
445,Palmer,75,AU,1566430134,82,-34.85,139.16,15.56,4.1
446,Pokhara,64,NP,1566430134,77,28.21,83.99,12.52,1.5
447,Bowen,0,AU,1566430134,48,-20.01,148.25,21.67,1.5
448,Garissa,36,KE,1566430134,79,-0.46,39.64,22.02,7.5
449,Jega,68,NG,1566430135,86,12.22,4.38,23.72,2.33
450,Flin Flon,20,CA,1566430135,45,54.77,-101.88,18.0,3.6
451,Luino,20,IT,1566430135,88,46.0,8.74,25.0,0.5
452,Bridlington,100,GB,1566430135,67,54.08,-0.19,17.22,5.7
453,Santa Cruz de Tenerife,75,ES,1566429958,93,28.47,-16.25,23.0,9.3
454,Gladstone,0,AU,1566430136,26,-23.84,151.26,21.11,3.1
455,Ornskoldsvik,9,SE,1566430136,76,63.29,18.72,10.0,4.1
456,Gavrilov-Yam,0,RU,1566430136,93,57.3,39.85,13.0,1.0
457,Plaster Rock,40,CA,1566430136,64,46.91,-67.4,24.0,2.6
458,Puerto Colombia,75,CO,1566430137,83,10.99,-74.96,29.0,2.6
459,Fenoarivo,75,MG,1566430137,82,-18.93,47.44,16.0,3.1
460,Saint-Denis,0,FR,1566430137,72,48.94,2.36,17.22,1.5
461,Aklavik,75,CA,1566429891,54,68.22,-135.01,13.0,2.6
462,Henties Bay,0,NA,1566430138,57,-22.12,14.28,17.62,1.87
463,Ixtapa,90,MX,1566430138,94,20.71,-105.21,28.0,4.59
464,Axim,91,GH,1566430138,92,4.87,-2.24,23.32,3.24
465,Novodugino,32,RU,1566430138,94,55.63,34.3,18.52,3.98
466,Blumenau,90,BR,1566429884,72,-26.92,-49.07,15.56,5.7
467,Oranjestad,20,AW,1566430139,74,12.52,-70.03,29.0,8.2
468,Tura,46,RU,1566430139,74,64.27,100.22,12.32,1.64
469,Ambulu,86,ID,1566430139,89,-8.35,113.61,22.52,0.88
470,Sorland,100,NO,1566430139,84,67.67,12.69,10.92,1.86
471,Nuristan,0,UZ,1566430140,48,38.49,65.64,19.0,1.0
472,Katsuura,40,JP,1566430140,83,33.93,134.5,30.56,1.0
473,Ariogala,27,LT,1566430140,93,55.26,23.48,13.0,2.6
474,Westlock,1,CA,1566430140,53,54.15,-113.85,27.78,5.7
475,Srednekolymsk,78,RU,1566430141,44,67.46,153.71,19.32,5.36
476,Rimini,5,IT,1566430141,74,44.06,12.57,27.22,2.6
477,Sikasso,93,ML,1566430141,96,11.32,-5.68,21.82,2.1
478,Labuhan,82,ID,1566430142,68,-2.54,115.51,25.92,0.47
479,Lorengau,95,PG,1566430142,87,-2.02,147.27,25.72,4.39
480,Sabha,0,LY,1566430142,24,27.03,14.43,26.52,4.51
481,Dekar,0,BW,1566430142,44,-21.53,21.93,12.72,3.78
482,Crib Point,58,AU,1566430143,74,-38.35,145.2,11.67,2.24
483,Avenal,40,US,1566430143,22,36.0,-120.13,36.0,4.6
484,San Bartolome,75,PH,1566430143,83,14.1,121.16,27.0,2.1
485,Westport,90,US,1566430085,94,41.14,-73.36,27.22,10.8
486,Shiliguri,33,IN,1566430143,90,26.7,88.43,16.62,1.24
487,Morbegno,20,IT,1566430144,88,46.13,9.57,23.33,0.5
488,Kawalu,68,ID,1566430144,81,-7.38,108.21,19.32,0.92
489,Vostok,81,RU,1566430144,76,46.45,135.83,18.82,1.96
490,Neryungri,98,RU,1566430144,73,56.66,124.71,14.82,1.36
491,Van,20,TR,1566430145,15,38.51,43.37,25.0,3.1
492,Santiago,100,PH,1566429941,83,16.69,121.54,25.52,0.2
493,Vila Velha,20,BR,1566430145,74,-3.71,-38.6,26.0,3.6
494,Ulaanbaatar,75,MN,1566429853,93,47.92,106.92,5.0,1.0
495,Bereda,20,ES,1566430146,88,43.27,-7.54,19.44,1.5
496,Nizhneudinsk,77,RU,1566430146,89,54.91,99.03,11.02,0.86
497,Oleksandrivka,21,UA,1566430146,69,48.97,32.24,19.12,2.14
498,Dingtao,44,CN,1566430146,86,35.07,115.56,23.62,1.42
499,Coihueco,100,CL,1566430146,93,-36.63,-71.83,12.78,1.5
500,Arlit,39,NE,1566430147,64,18.74,7.39,27.42,5.66
501,Coihaique,75,CL,1566430147,81,-45.58,-72.07,7.0,2.1
502,Ugoofaaru,100,MV,1566429911,75,5.67,73.0,27.82,5.86
503,Kruisfontein,16,ZA,1566430147,19,-34.0,24.73,15.72,3.59
504,Somerset,75,US,1566429898,83,41.77,-71.13,26.11,5.1
505,Behat,0,IN,1566430148,80,30.17,77.62,21.72,1.14
506,Berlevag,75,NO,1566430148,93,70.86,29.09,10.0,2.6
507,Trairi,25,BR,1566430148,85,-3.28,-39.27,21.22,2.49
508,Elat,100,CM,1566430148,99,2.91,11.16,19.42,0.76
509,Wanlaweyn,100,SO,1566430148,83,2.62,44.89,23.72,6.28
510,Dejen,54,ET,1566430149,90,10.16,38.15,15.02,0.08
511,Dong Hoi,100,VN,1566430149,89,17.48,106.6,24.72,1.67
512,Banda Aceh,100,ID,1566429857,70,5.56,95.32,28.32,4.7
513,Hwange,8,ZW,1566430149,63,-18.35,26.5,11.22,2.03
514,Pahrump,1,US,1566429918,3,36.21,-115.98,41.67,5.7
515,Kefamenanu,0,ID,1566430150,38,-9.45,124.48,25.82,0.45
516,Aginskoye,100,RU,1566430150,90,51.11,114.54,11.62,2.5
517,Nelson Bay,18,AU,1566430150,36,-32.72,152.14,18.89,11.3
518,Mackay,1,CA,1566430150,73,53.65,-115.58,23.0,2.1
519,Sosva,95,RU,1566430151,75,59.17,61.86,10.52,1.58
520,Angoche,53,MZ,1566430151,86,-16.23,39.91,19.72,3.18
521,Pevek,68,RU,1566430091,95,69.7,170.27,2.62,6.92
522,Loikaw,100,MM,1566430151,98,19.67,97.21,18.82,1.03
523,Nizhnevartovsk,83,RU,1566430152,100,60.93,76.58,12.0,1.0
524,Khuzhir,91,RU,1566430152,52,53.19,107.35,14.12,0.67
525,Jaen,48,PE,1566430152,92,-5.71,-78.81,15.12,0.7
526,Yanam,100,IN,1566430152,89,16.73,82.22,24.92,5.43
527,Miracema do Tocantins,0,BR,1566430153,27,-9.56,-48.4,26.12,1.0
528,Narasannapeta,97,IN,1566430153,85,18.42,84.04,26.12,2.52
529,Toamasina,75,MG,1566430153,94,-18.17,49.38,22.0,2.1
530,Okhotsk,96,RU,1566430154,70,59.36,143.24,17.12,0.67
531,Pangody,1,RU,1566430154,89,65.85,74.49,8.02,1.86
532,Tual,72,ID,1566430154,84,-5.67,132.75,25.02,8.67
533,Carson City,1,US,1566429983,9,39.16,-119.77,34.44,4.6
534,Viedma,100,AR,1566430154,71,-40.81,-62.99,7.22,5.66
535,Northam,0,AU,1566430155,28,-31.65,116.67,14.0,5.7
536,Chirongui,90,YT,1566430155,83,-12.93,45.15,26.0,9.8
537,Lima,90,PE,1566429967,82,-12.06,-77.04,16.0,5.1
538,Ayan,0,IR,1566430156,27,38.23,44.7,14.02,2.53
